"","ID","type","places"
"1","2014.c.1.1.1","tossup","Marbury"
"2","2014.c.1.1.2","tossup","c(""Allia"", ""St. Jerome"")"
"3","2014.c.1.1.3","tossup","US"
"4","2014.c.1.1.4","tossup","list()"
"5","2014.c.1.1.5","tossup","list()"
"6","2014.c.1.1.6","tossup","list()"
"7","2014.c.1.1.7","tossup","c(""Minolta"", ""Prince William Sound"")"
"8","2014.c.1.1.8","tossup","list()"
"9","2014.c.1.1.9","tossup","list()"
"10","2014.c.1.1.10","tossup","Russia"
"11","2014.c.1.2.1","tossup + bonus","list()"
"12","2014.c.1.2.2","tossup + bonus","c(""the Ottoman Empire's"", ""China"", ""Britain"", ""Canada"")"
"13","2014.c.1.2.3","tossup + bonus","China"
"14","2014.c.1.2.4","tossup + bonus","list()"
"15","2014.c.1.2.5","tossup + bonus","c(""Jackson County"", ""U.S."", ""Maine"", ""USA"", ""St. Louis"")"
"16","2014.c.1.2.6","tossup + bonus","c(""Spain"", ""Westphalia"", ""Wellington"")"
"17","2014.c.1.2.7","tossup + bonus","Edinburgh"
"18","2014.c.1.2.8","tossup + bonus","c(""Austria"", ""Nazi Germany"")"
"19","2014.c.1.3.lightning.1.1","lightning","list()"
"20","2014.c.1.3.lightning.1.2","lightning","Syracuse"
"21","2014.c.1.3.lightning.1.3","lightning","list()"
"22","2014.c.1.3.lightning.1.4","lightning","Athens"
"23","2014.c.1.3.lightning.1.5","lightning","Athens"
"24","2014.c.1.3.lightning.1.6","lightning","list()"
"25","2014.c.1.3.lightning.1.7","lightning","Lesbos"
"26","2014.c.1.3.lightning.1.8","lightning","list()"
"27","2014.c.1.3.lightning.2.1","lightning","list()"
"28","2014.c.1.3.lightning.2.2","lightning","Germany"
"29","2014.c.1.3.lightning.2.3","lightning","Turkey"
"30","2014.c.1.3.lightning.2.4","lightning","Moscow"
"31","2014.c.1.3.lightning.2.5","lightning","list()"
"32","2014.c.1.3.lightning.2.6","lightning","list()"
"33","2014.c.1.3.lightning.2.7","lightning","list()"
"34","2014.c.1.3.lightning.2.8","lightning","Serbia"
"35","2014.c.1.3.lightning.3.1","lightning","list()"
"36","2014.c.1.3.lightning.3.2","lightning","Chicago"
"37","2014.c.1.3.lightning.3.3","lightning","list()"
"38","2014.c.1.3.lightning.3.4","lightning","list()"
"39","2014.c.1.3.lightning.3.5","lightning","California"
"40","2014.c.1.3.lightning.3.6","lightning","list()"
"41","2014.c.1.3.lightning.3.7","lightning","list()"
"42","2014.c.1.3.lightning.3.8","lightning","Washington"
"43","2014.c.1.4.1","tossup","c(""Iraq"", ""Iran"", ""North Korea"", ""Germany"", ""Italy"", ""Japan"")"
"44","2014.c.1.4.2","tossup","list()"
"45","2014.c.1.4.3","tossup","list()"
"46","2014.c.1.4.4","tossup","China"
"47","2014.c.1.4.5","tossup","Germany"
"48","2014.c.1.4.6","tossup","list()"
"49","2014.c.1.4.7","tossup","c(""Toxophilus"", ""Agincourt"")"
"50","2014.c.1.4.8","tossup","list()"
"51","2014.c.1.extra.1","tossup + bonus","Buffalo"
"52","2014.c.2.1.1","tossup","c(""Bagram"", ""Vajryana"", ""Tibet"")"
"53","2014.c.2.1.2","tossup","Maryland"
"54","2014.c.2.1.3","tossup","c(""The Kingdom of God"", ""Russia"")"
"55","2014.c.2.1.4","tossup","list()"
"56","2014.c.2.1.5","tossup","France"
"57","2014.c.2.1.6","tossup","list()"
"58","2014.c.2.1.7","tossup","the United Kingdom"
"59","2014.c.2.1.8","tossup","list()"
"60","2014.c.2.1.9","tossup","list()"
"61","2014.c.2.1.10","tossup","Ireland"
"62","2014.c.2.2.1","tossup + bonus","list()"
"63","2014.c.2.2.2","tossup + bonus","list()"
"64","2014.c.2.2.3","tossup + bonus","Rome"
"65","2014.c.2.2.4","tossup + bonus","list()"
"66","2014.c.2.2.5","tossup + bonus","list()"
"67","2014.c.2.2.6","tossup + bonus","list()"
"68","2014.c.2.2.7","tossup + bonus","c(""Tara"", ""Dublin"")"
"69","2014.c.2.2.8","tossup + bonus","c(""France"", ""Khmer Kingdom"", ""Cambodia"")"
"70","2014.c.2.3.lightning.1.1","lightning","c(""Atlanta"", ""Savannah"")"
"71","2014.c.2.3.lightning.1.2","lightning","list()"
"72","2014.c.2.3.lightning.1.3","lightning","Northerners"
"73","2014.c.2.3.lightning.1.4","lightning","list()"
"74","2014.c.2.3.lightning.1.5","lightning","the United States"
"75","2014.c.2.3.lightning.1.6","lightning","list()"
"76","2014.c.2.3.lightning.1.7","lightning","list()"
"77","2014.c.2.3.lightning.1.8","lightning","list()"
"78","2014.c.2.3.lightning.2.1","lightning","list()"
"79","2014.c.2.3.lightning.2.2","lightning","list()"
"80","2014.c.2.3.lightning.2.3","lightning","England"
"81","2014.c.2.3.lightning.2.4","lightning","Spain"
"82","2014.c.2.3.lightning.2.5","lightning","list()"
"83","2014.c.2.3.lightning.2.6","lightning","list()"
"84","2014.c.2.3.lightning.2.7","lightning","list()"
"85","2014.c.2.3.lightning.2.8","lightning","list()"
"86","2014.c.2.3.lightning.3.1","lightning","list()"
"87","2014.c.2.3.lightning.3.2","lightning","list()"
"88","2014.c.2.3.lightning.3.3","lightning","list()"
"89","2014.c.2.3.lightning.3.4","lightning","list()"
"90","2014.c.2.3.lightning.3.5","lightning","list()"
"91","2014.c.2.3.lightning.3.6","lightning","list()"
"92","2014.c.2.3.lightning.3.7","lightning","Acapulco"
"93","2014.c.2.3.lightning.3.8","lightning","list()"
"94","2014.c.2.4.1","tossup","c(""Springfield"", ""Sunset Strip"", ""Ohio"")"
"95","2014.c.2.4.2","tossup","c(""U.S."", ""the United States"", ""U.S."", ""Canada"", ""U.S."")"
"96","2014.c.2.4.3","tossup","list()"
"97","2014.c.2.4.4","tossup","Springfield"
"98","2014.c.2.4.5","tossup","U.K."
"99","2014.c.2.4.6","tossup","Germany"
"100","2014.c.2.4.7","tossup","U.S."
"101","2014.c.2.4.8","tossup","c(""McGrain v. Daugherty"", ""the Black Hills"")"
"102","2014.c.2.extra.1","tossup + bonus","list()"
"103","2014.c.3.1.1","tossup","England"
"104","2014.c.3.1.2","tossup","list()"
"105","2014.c.3.1.3","tossup","list()"
"106","2014.c.3.1.4","tossup","c(""U.S."", ""Colombia"")"
"107","2014.c.3.1.5","tossup","list()"
"108","2014.c.3.1.6","tossup","c(""Williston"", ""Fargo"")"
"109","2014.c.3.1.7","tossup","Sudan"
"110","2014.c.3.1.8","tossup","c(""Lausanne"", ""Turkey"")"
"111","2014.c.3.1.9","tossup","Dred"
"112","2014.c.3.1.10","tossup","Cincinnati"
"113","2014.c.3.2.1","tossup + bonus","Emporia"
"114","2014.c.3.2.2","tossup + bonus","c(""Argun"", ""Ussuri"", ""Mongolia"", ""Kazakhstan"")"
"115","2014.c.3.2.3","tossup + bonus","Metallurg"
"116","2014.c.3.2.4","tossup + bonus","c(""Spinalonga"", ""Hawaii"")"
"117","2014.c.3.2.5","tossup + bonus","the Soviet Union"
"118","2014.c.3.2.6","tossup + bonus","c(""Xerxes"", ""Persia"")"
"119","2014.c.3.2.7","tossup + bonus","c(""Sirte"", ""Libya"")"
"120","2014.c.3.2.8","tossup + bonus","list()"
"121","2014.c.3.3.lightning.1.1","lightning","list()"
"122","2014.c.3.3.lightning.1.2","lightning","list()"
"123","2014.c.3.3.lightning.1.3","lightning","list()"
"124","2014.c.3.3.lightning.1.4","lightning","list()"
"125","2014.c.3.3.lightning.1.5","lightning","list()"
"126","2014.c.3.3.lightning.1.6","lightning","list()"
"127","2014.c.3.3.lightning.1.7","lightning","Sweden"
"128","2014.c.3.3.lightning.1.8","lightning","list()"
"129","2014.c.3.3.lightning.2.1","lightning","list()"
"130","2014.c.3.3.lightning.2.2","lightning","Northern Ireland"
"131","2014.c.3.3.lightning.2.3","lightning","list()"
"132","2014.c.3.3.lightning.2.4","lightning","list()"
"133","2014.c.3.3.lightning.2.5","lightning","list()"
"134","2014.c.3.3.lightning.2.6","lightning","list()"
"135","2014.c.3.3.lightning.2.7","lightning","list()"
"136","2014.c.3.3.lightning.2.8","lightning","Britain"
"137","2014.c.3.3.lightning.3.1","lightning","c(""U.S."", ""St. Petersburg"")"
"138","2014.c.3.3.lightning.3.2","lightning","list()"
"139","2014.c.3.3.lightning.3.3","lightning","list()"
"140","2014.c.3.3.lightning.3.4","lightning","Florida"
"141","2014.c.3.3.lightning.3.5","lightning","list()"
"142","2014.c.3.3.lightning.3.6","lightning","Washington DC"
"143","2014.c.3.3.lightning.3.7","lightning","list()"
"144","2014.c.3.3.lightning.3.8","lightning","list()"
"145","2014.c.3.4.1","tossup","c(""Paris"", ""France"")"
"146","2014.c.3.4.2","tossup","St. Louis"
"147","2014.c.3.4.3","tossup","list()"
"148","2014.c.3.4.4","tossup","list()"
"149","2014.c.3.4.5","tossup","c(""Austria"", ""Italy"")"
"150","2014.c.3.4.6","tossup","c(""Philadelphia"", ""U.S."")"
"151","2014.c.3.4.7","tossup","c(""Zenobia"", ""Egypt"")"
"152","2014.c.3.4.8","tossup","Paris"
"153","2014.c.3.extra.1","tossup + bonus","the Soviet Union"
"154","2014.c.4.1.1","tossup","list()"
"155","2014.c.4.1.2","tossup","Ohio"
"156","2014.c.4.1.3","tossup","Pennsylvania"
"157","2014.c.4.1.4","tossup","list()"
"158","2014.c.4.1.5","tossup","list()"
"159","2014.c.4.1.6","tossup","c(""Waco"", ""Oklahoma City"")"
"160","2014.c.4.1.7","tossup","list()"
"161","2014.c.4.1.8","tossup","list()"
"162","2014.c.4.1.9","tossup","list()"
"163","2014.c.4.1.10","tossup","list()"
"164","2014.c.4.2.1","tossup + bonus","list()"
"165","2014.c.4.2.2","tossup + bonus","King of Scotland"
"166","2014.c.4.2.3","tossup + bonus","U.S."
"167","2014.c.4.2.4","tossup + bonus","list()"
"168","2014.c.4.2.5","tossup + bonus","c(""Ghana"", ""Nigeria"", ""Rhodesia"", ""France"")"
"169","2014.c.4.2.6","tossup + bonus","list()"
"170","2014.c.4.2.7","tossup + bonus","c(""Lydia"", ""Greece"")"
"171","2014.c.4.2.8","tossup + bonus","Virginia"
"172","2014.c.4.3.lightning.1.1","lightning","Britain"
"173","2014.c.4.3.lightning.1.2","lightning","list()"
"174","2014.c.4.3.lightning.1.3","lightning","St. Paul"
"175","2014.c.4.3.lightning.1.4","lightning","list()"
"176","2014.c.4.3.lightning.1.5","lightning","list()"
"177","2014.c.4.3.lightning.1.6","lightning","list()"
"178","2014.c.4.3.lightning.1.7","lightning","list()"
"179","2014.c.4.3.lightning.1.8","lightning","list()"
"180","2014.c.4.3.lightning.2.1","lightning","Jerusalem"
"181","2014.c.4.3.lightning.2.2","lightning","list()"
"182","2014.c.4.3.lightning.2.3","lightning","England"
"183","2014.c.4.3.lightning.2.4","lightning","list()"
"184","2014.c.4.3.lightning.2.5","lightning","list()"
"185","2014.c.4.3.lightning.2.6","lightning","list()"
"186","2014.c.4.3.lightning.2.7","lightning","list()"
"187","2014.c.4.3.lightning.2.8","lightning","list()"
"188","2014.c.4.3.lightning.3.1","lightning","Nirvana"
"189","2014.c.4.3.lightning.3.2","lightning","Hindi"
"190","2014.c.4.3.lightning.3.3","lightning","India"
"191","2014.c.4.3.lightning.3.4","lightning","list()"
"192","2014.c.4.3.lightning.3.5","lightning","India"
"193","2014.c.4.3.lightning.3.6","lightning","list()"
"194","2014.c.4.3.lightning.3.7","lightning","Ayodha"
"195","2014.c.4.3.lightning.3.8","lightning","list()"
"196","2014.c.4.4.1","tossup","Poland"
"197","2014.c.4.4.2","tossup","Manzanar"
"198","2014.c.4.4.3","tossup","Mecca"
"199","2014.c.4.4.4","tossup","list()"
"200","2014.c.4.4.5","tossup","the United States"
"201","2014.c.4.4.6","tossup","U.S."
"202","2014.c.4.4.7","tossup","New York"
"203","2014.c.4.4.8","tossup","c(""the Caprivi Strip"", ""Namibia"", ""Tanzania"")"
"204","2014.c.4.extra.1","tossup + bonus","c(""Hudaybiyyah"", ""Quran"")"
"205","2014.c.5.1.1","tossup","South Carolina"
"206","2014.c.5.1.2","tossup","Paris"
"207","2014.c.5.1.3","tossup","list()"
"208","2014.c.5.1.4","tossup","list()"
"209","2014.c.5.1.5","tossup","c(""Dayton"", ""Tennessee"")"
"210","2014.c.5.1.6","tossup","list()"
"211","2014.c.5.1.7","tossup","list()"
"212","2014.c.5.1.8","tossup","The City of God"
"213","2014.c.5.1.9","tossup","c(""Cuba"", ""Tenochtitlan"", ""Mexico"", ""Spain"")"
"214","2014.c.5.1.10","tossup","list()"
"215","2014.c.5.2.1","tossup + bonus","list()"
"216","2014.c.5.2.2","tossup + bonus","c(""Pataliputra"", ""New Delhi"")"
"217","2014.c.5.2.3","tossup + bonus","c(""Veracruz"", ""Santa Anna"")"
"218","2014.c.5.2.4","tossup + bonus","list()"
"219","2014.c.5.2.5","tossup + bonus","c(""West Virginia"", ""Wisconsin"")"
"220","2014.c.5.2.6","tossup + bonus","list()"
"221","2014.c.5.2.7","tossup + bonus","list()"
"222","2014.c.5.2.8","tossup + bonus","Japan"
"223","2014.c.5.3.lightning.1.1","lightning","list()"
"224","2014.c.5.3.lightning.1.2","lightning","list()"
"225","2014.c.5.3.lightning.1.3","lightning","London"
"226","2014.c.5.3.lightning.1.4","lightning","list()"
"227","2014.c.5.3.lightning.1.5","lightning","list()"
"228","2014.c.5.3.lightning.1.6","lightning","list()"
"229","2014.c.5.3.lightning.1.7","lightning","list()"
"230","2014.c.5.3.lightning.1.8","lightning","list()"
"231","2014.c.5.3.lightning.2.1","lightning","list()"
"232","2014.c.5.3.lightning.2.2","lightning","list()"
"233","2014.c.5.3.lightning.2.3","lightning","list()"
"234","2014.c.5.3.lightning.2.4","lightning","list()"
"235","2014.c.5.3.lightning.2.5","lightning","list()"
"236","2014.c.5.3.lightning.2.6","lightning","list()"
"237","2014.c.5.3.lightning.2.7","lightning","list()"
"238","2014.c.5.3.lightning.2.8","lightning","Puritan"
"239","2014.c.5.3.lightning.3.1","lightning","list()"
"240","2014.c.5.3.lightning.3.2","lightning","England"
"241","2014.c.5.3.lightning.3.3","lightning","list()"
"242","2014.c.5.3.lightning.3.4","lightning","list()"
"243","2014.c.5.3.lightning.3.5","lightning","list()"
"244","2014.c.5.3.lightning.3.6","lightning","list()"
"245","2014.c.5.3.lightning.3.7","lightning","list()"
"246","2014.c.5.3.lightning.3.8","lightning","list()"
"247","2014.c.5.4.1","tossup","U.S."
"248","2014.c.5.4.2","tossup","list()"
"249","2014.c.5.4.3","tossup","Louisiana"
"250","2014.c.5.4.4","tossup","c(""Rome"", ""Attila"")"
"251","2014.c.5.4.5","tossup","America"
"252","2014.c.5.4.6","tossup","list()"
"253","2014.c.5.4.7","tossup","c(""USSR"", ""the United States"")"
"254","2014.c.5.4.8","tossup","c(""Cuba"", ""U.S."", ""Puerto Rico"")"
"255","2014.c.5.extra.1","tossup + bonus","list()"
"256","2015.a.1.1.1","tossup","Maryland"
"257","2015.a.1.1.2","tossup","Philadelphia"
"258","2015.a.1.1.3","tossup","list()"
"259","2015.a.1.1.4","tossup","list()"
"260","2015.a.1.1.5","tossup","c(""Uranus"", ""Konigsberg"")"
"261","2015.a.1.1.6","tossup","Cleopatra"
"262","2015.a.1.1.7","tossup","list()"
"263","2015.a.1.1.8","tossup","c(""Hurrem Sultan"", ""Hungary"", ""Baghdad"", ""the Ottoman Empire"")"
"264","2015.a.1.1.9","tossup","c(""Manila"", ""India"", ""Liverpool"")"
"265","2015.a.1.1.10","tossup","c(""the United States"", ""Lawrence County"")"
"266","2015.a.1.2.1","tossup + bonus","c(""Fort Stanwix"", ""New York"")"
"267","2015.a.1.2.2","tossup + bonus","list()"
"268","2015.a.1.2.3","tossup + bonus","list()"
"269","2015.a.1.2.4","tossup + bonus","list()"
"270","2015.a.1.2.5","tossup + bonus","Casablanca"
"271","2015.a.1.2.6","tossup + bonus","list()"
"272","2015.a.1.2.7","tossup + bonus","Minnesota"
"273","2015.a.1.2.8","tossup + bonus","list()"
"274","2015.a.1.3.lightning.1.1","lightning","list()"
"275","2015.a.1.3.lightning.1.2","lightning","list()"
"276","2015.a.1.3.lightning.1.3","lightning","Consul"
"277","2015.a.1.3.lightning.1.4","lightning","list()"
"278","2015.a.1.3.lightning.1.5","lightning","list()"
"279","2015.a.1.3.lightning.1.6","lightning","list()"
"280","2015.a.1.3.lightning.1.7","lightning","list()"
"281","2015.a.1.3.lightning.1.8","lightning","Empire"
"282","2015.a.1.3.lightning.2.1","lightning","list()"
"283","2015.a.1.3.lightning.2.2","lightning","list()"
"284","2015.a.1.3.lightning.2.3","lightning","list()"
"285","2015.a.1.3.lightning.2.4","lightning","list()"
"286","2015.a.1.3.lightning.2.5","lightning","list()"
"287","2015.a.1.3.lightning.2.6","lightning","list()"
"288","2015.a.1.3.lightning.2.7","lightning","list()"
"289","2015.a.1.3.lightning.2.8","lightning","list()"
"290","2015.a.1.3.lightning.3.1","lightning","Japan"
"291","2015.a.1.3.lightning.3.2","lightning","list()"
"292","2015.a.1.3.lightning.3.3","lightning","list()"
"293","2015.a.1.3.lightning.3.4","lightning","Japan"
"294","2015.a.1.3.lightning.3.5","lightning","Japan"
"295","2015.a.1.3.lightning.3.6","lightning","c(""Japan"", ""Russia"")"
"296","2015.a.1.3.lightning.3.7","lightning","c(""Liaodong"", ""Japan"")"
"297","2015.a.1.3.lightning.3.8","lightning","New Hampshire"
"298","2015.a.1.4.1","tossup","c(""Chippenham"", ""Edington"")"
"299","2015.a.1.4.2","tossup","Washington"
"300","2015.a.1.4.3","tossup","list()"
"301","2015.a.1.4.4","tossup","c(""New Jersey"", ""Tennessee"", ""America"")"
"302","2015.a.1.4.5","tossup","c(""Taku"", ""the H. M. S. Arrow"", ""China"", ""Britain"")"
"303","2015.a.1.4.6","tossup","list()"
"304","2015.a.1.4.7","tossup","list()"
"305","2015.a.1.4.8","tossup","c(""Cuchulain"", ""Dublin"")"
"306","2015.a.2.1.1","tossup","c(""Russia"", ""Britain"", ""Britain"")"
"307","2015.a.2.1.2","tossup","New Orleans"
"308","2015.a.2.1.3","tossup","c(""Crito"", ""Republic"")"
"309","2015.a.2.1.4","tossup","c(""Charlotte"", ""France"")"
"310","2015.a.2.1.5","tossup","list()"
"311","2015.a.2.1.6","tossup","c(""Hejaz"", ""Islam"", ""Mecca"")"
"312","2015.a.2.1.7","tossup","list()"
"313","2015.a.2.1.8","tossup","c(""Jerusalem"", ""Berlin"")"
"314","2015.a.2.1.9","tossup","Talbot County"
"315","2015.a.2.1.10","tossup","c(""Saint Sylvia"", ""Ecumenical  Patriarch"", ""Britain"")"
"316","2015.a.2.2.1","tossup + bonus","list()"
"317","2015.a.2.2.2","tossup + bonus","c(""Israel"", ""DC"", ""Washington"", ""Colorado"")"
"318","2015.a.2.2.3","tossup + bonus","list()"
"319","2015.a.2.2.4","tossup + bonus","Massachusetts"
"320","2015.a.2.2.5","tossup + bonus","Grass"
"321","2015.a.2.2.6","tossup + bonus","c(""Tassilo"", ""Bavaria"", ""Pannonia"")"
"322","2015.a.2.2.7","tossup + bonus","list()"
"323","2015.a.2.2.8","tossup + bonus","c(""Canada"", ""Paris"")"
"324","2015.a.2.3.lightning.1.1","lightning","Cuba"
"325","2015.a.2.3.lightning.1.2","lightning","Cuba"
"326","2015.a.2.3.lightning.1.3","lightning","Cuba"
"327","2015.a.2.3.lightning.1.4","lightning","list()"
"328","2015.a.2.3.lightning.1.5","lightning","c(""U.S."", ""Cuba"")"
"329","2015.a.2.3.lightning.1.6","lightning","list()"
"330","2015.a.2.3.lightning.1.7","lightning","list()"
"331","2015.a.2.3.lightning.1.8","lightning","c(""U.S."", ""Cuba"")"
"332","2015.a.2.3.lightning.2.1","lightning","Massachusetts"
"333","2015.a.2.3.lightning.2.2","lightning","list()"
"334","2015.a.2.3.lightning.2.3","lightning","Yorktown"
"335","2015.a.2.3.lightning.2.4","lightning","West Point"
"336","2015.a.2.3.lightning.2.5","lightning","Camden"
"337","2015.a.2.3.lightning.2.6","lightning","list()"
"338","2015.a.2.3.lightning.2.7","lightning","Rhode Island"
"339","2015.a.2.3.lightning.2.8","lightning","South Carolina"
"340","2015.a.2.3.lightning.3.1","lightning","list()"
"341","2015.a.2.3.lightning.3.2","lightning","list()"
"342","2015.a.2.3.lightning.3.3","lightning","list()"
"343","2015.a.2.3.lightning.3.4","lightning","list()"
"344","2015.a.2.3.lightning.3.5","lightning","Peru"
"345","2015.a.2.3.lightning.3.6","lightning","Rhodesia"
"346","2015.a.2.3.lightning.3.7","lightning","Jordan"
"347","2015.a.2.3.lightning.3.8","lightning","St. Louis"
"348","2015.a.2.4.1","tossup","Lachrimae"
"349","2015.a.2.4.2","tossup","list()"
"350","2015.a.2.4.3","tossup","London"
"351","2015.a.2.4.4","tossup","U.S."
"352","2015.a.2.4.5","tossup","c(""Iran"", ""Guatemala"")"
"353","2015.a.2.4.6","tossup","Psycho"
"354","2015.a.2.4.7","tossup","list()"
"355","2015.a.2.4.8","tossup","c(""Whites"", ""Rome"")"
"356","2015.a.3.1.1","tossup","Chicago"
"357","2015.a.3.1.2","tossup","list()"
"358","2015.a.3.1.3","tossup","Manhattan"
"359","2015.a.3.1.4","tossup","list()"
"360","2015.a.3.1.5","tossup","list()"
"361","2015.a.3.1.6","tossup","US"
"362","2015.a.3.1.7","tossup","list()"
"363","2015.a.3.1.8","tossup","list()"
"364","2015.a.3.1.9","tossup","list()"
"365","2015.a.3.1.10","tossup","list()"
"366","2015.a.3.2.1","tossup + bonus","list()"
"367","2015.a.3.2.2","tossup + bonus","Great Britain"
"368","2015.a.3.2.3","tossup + bonus","England"
"369","2015.a.3.2.4","tossup + bonus","c(""Bilbao"", ""Spain"")"
"370","2015.a.3.2.5","tossup + bonus","list()"
"371","2015.a.3.2.6","tossup + bonus","Arkansas"
"372","2015.a.3.2.7","tossup + bonus","list()"
"373","2015.a.3.2.8","tossup + bonus","Netherlands"
"374","2015.a.3.3.lightning.1.1","lightning","Jerusalem"
"375","2015.a.3.3.lightning.1.2","lightning","list()"
"376","2015.a.3.3.lightning.1.3","lightning","Jerusalem"
"377","2015.a.3.3.lightning.1.4","lightning","Malta"
"378","2015.a.3.3.lightning.1.5","lightning","list()"
"379","2015.a.3.3.lightning.1.6","lightning","the Kingdom of Jerusalem"
"380","2015.a.3.3.lightning.1.7","lightning","list()"
"381","2015.a.3.3.lightning.1.8","lightning","list()"
"382","2015.a.3.3.lightning.2.1","lightning","the United States"
"383","2015.a.3.3.lightning.2.2","lightning","US"
"384","2015.a.3.3.lightning.2.3","lightning","the Soviet Union"
"385","2015.a.3.3.lightning.2.4","lightning","c(""France"", ""Britain"")"
"386","2015.a.3.3.lightning.2.5","lightning","list()"
"387","2015.a.3.3.lightning.2.6","lightning","list()"
"388","2015.a.3.3.lightning.2.7","lightning","list()"
"389","2015.a.3.3.lightning.2.8","lightning","Massachusetts"
"390","2015.a.3.3.lightning.3.1","lightning","France"
"391","2015.a.3.3.lightning.3.2","lightning","list()"
"392","2015.a.3.3.lightning.3.3","lightning","Nebraska"
"393","2015.a.3.3.lightning.3.4","lightning","list()"
"394","2015.a.3.3.lightning.3.5","lightning","list()"
"395","2015.a.3.3.lightning.3.6","lightning","list()"
"396","2015.a.3.3.lightning.3.7","lightning","list()"
"397","2015.a.3.3.lightning.3.8","lightning","list()"
"398","2015.a.3.4.1","tossup","c(""Egypt"", ""India"")"
"399","2015.a.3.4.2","tossup","Brazil"
"400","2015.a.3.4.3","tossup","c(""North Carolina’s"", ""Omaha"")"
"401","2015.a.3.4.4","tossup","c(""Tashkent"", ""Jawaharlal"")"
"402","2015.a.3.4.5","tossup","c(""Wellington"", ""Portugal"")"
"403","2015.a.3.4.6","tossup","list()"
"404","2015.a.3.4.7","tossup","c(""Paris"", ""Lightborn"", ""Machiavelli"")"
"405","2015.a.3.4.8","tossup","c(""Antwerp"", ""Hamburg"")"
"406","2015.a.4.1.1","tossup","c(""Zurich"", ""Munster"")"
"407","2015.a.4.1.2","tossup","c(""Moravia"", ""Chapelle"", ""Habsburg"")"
"408","2015.a.4.1.3","tossup","Charlemagne"
"409","2015.a.4.1.4","tossup","New York City"
"410","2015.a.4.1.5","tossup","list()"
"411","2015.a.4.1.6","tossup","India"
"412","2015.a.4.1.7","tossup","c(""Southampton County"", ""Virginia"")"
"413","2015.a.4.1.8","tossup","Kentucky"
"414","2015.a.4.1.9","tossup","c(""U.S."", ""Virginia"")"
"415","2015.a.4.1.10","tossup","list()"
"416","2015.a.4.2.1","tossup + bonus","c(""West Germany"", ""the United States"", ""London"")"
"417","2015.a.4.2.2","tossup + bonus","list()"
